lang,traversal,Test ppl
0010100,top_down,2.6628341738842627
1010101,top_down,2.672794435187826
0010011,top_down,2.729414495991864
1010100,top_down,2.656007927397193
0010010,top_down,2.7328568590685567
1010011,top_down,2.706748178707969
0010001,top_down,2.702431691446604
1010010,top_down,2.74229264056647
1010001,top_down,2.698986350128204
0010000,top_down,2.731303762288184
1010000,top_down,2.682350532794219
0001111,top_down,2.6716178296969484
1001111,top_down,2.654302365764355
0001110,top_down,2.654376614408107
1001110,top_down,2.668275227699928
0001101,top_down,2.67484591954662
1001101,top_down,2.6715527299645547
0001100,top_down,2.678083160230935
1001100,top_down,2.672047091478721
0001011,top_down,2.7404873398385887
1001011,top_down,2.7098816923500517
0001010,top_down,2.7427714218714976
0001001,top_down,2.716666731958991
1001010,top_down,2.7309232884801755
1001001,top_down,2.6945099951775706
0001000,top_down,2.7383429780001403
1001000,top_down,2.735746413030073
0000111,top_down,2.6616645029712767
0000110,top_down,2.651985554070712
1000111,top_down,2.638262247187017
1000110,top_down,2.655777754835703
0000101,top_down,2.6780801288088494
1000101,top_down,2.6380159586262444
0000100,top_down,2.720938992072829
1000100,top_down,2.6847004296556767
0000011,top_down,2.704219800879308
0000010,top_down,2.728748199031589
1000011,top_down,2.6979826180826665
1000010,top_down,2.727991990631706
0000001,top_down,2.719244139276816
1000001,top_down,2.6752433616611366
0000000,top_down,2.7321682580241786
1001011,in_order,2.8091331940925035
0000111,in_order,2.730654568176039
1111111,top_down,2.745710407997559
1111111,in_order,2.754829923691137
0110011,top_down,2.810206514170549
0110011,in_order,2.777807982319551
1011001,top_down,2.7116361292475903
1011001,in_order,2.871630841958555
0010101,top_down,2.6954363980799747
0010101,in_order,2.8491057835698075
1101101,top_down,2.7616898200156252
0100001,top_down,2.7891697325979448
0100001,in_order,2.891148537771566
0011101,top_down,2.6899344219163903
0011101,in_order,2.83156073363584
1010001,in_order,2.8512132645549144
0101001,in_order,2.952636081612215
0101001,top_down,2.815588564344182
1100101,top_down,2.76894556233838
1100101,in_order,2.8531543122573733
0001111,in_order,2.7588666669562865
1000011,in_order,2.8163441529237074
0111011,top_down,2.8476570655565183
0111011,in_order,2.765985610676245
1110111,top_down,2.7252042176596163
1110111,in_order,2.71900479012024
1110011,in_order,2.8210152665398565
1110011,top_down,2.8211875785356266
0111111,in_order,2.731755506127148
0111111,top_down,2.784771129373691
1000111,in_order,2.72147551234087
0001011,in_order,2.820621377078784
1100001,in_order,2.912607470195578
