,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
0,Transformer,0,0.5,-0.019821869251741547,0,-313.27317496015297,0.0661172610549851,0.06088810010930781,0.3590531088969176,0.3023495498800103,"LLLLLL, LLRLLL, RLRLLL"
1,Transformer,20000,0.5,-0.03278860126286415,0,-313.7154250830201,0.10596096716457432,0.20864173437136943,0.3405200233831403,0.22198040006767567,"RLRLLL, RLLLLL, LLRLLL"
2,Transformer,40000,0.5,-0.051818808449149364,0,-314.91668462449644,0.17208596109571078,0.1975631296434026,0.3772332812892923,0.3102172186276553,"LLRLLL, LLLLLL, LLLRLL"
3,Transformer,60000,0.5,-0.05704383783032968,0,-314.6715505669747,0.1609026342298976,0.157894929834553,0.39147625027686633,0.18760384712231098,"LLLLLL, LLRLLL, LLLRLL"
4,Transformer,80000,0.5,-0.03830885791319172,0,-313.8215631671417,0.11342907481596107,0.21206447127194797,0.39728027011722994,0.18344912014392578,"LLLLLL, LLRLLL, RLLLLL"
5,LSTM,0,0.5,0.011297848316492973,0,-314.1949883022829,-0.13641510587595174,0.14963816233394106,-0.052819742916840856,-0.1879257176091141,"RLRLLL, RLLLLL, RRRRRR"
6,LSTM,20000,0.5,-0.0576525424570906,0,-316.2587728636353,0.22304893611846657,0.3219913814283674,0.3244353507971068,-0.005908122394225224,"LLLRLL, RRLRRR, LLRRLL"
7,LSTM,40000,0.5,-0.03712997133884505,0,-314.35930438357883,0.1453461744720695,0.27208198959053703,0.32659335822411706,0.0363491799368032,"RLRLLL, RLLLLL, RLRRLL"
8,LSTM,60000,0.5,-0.04282693837573155,0,-314.6462167649934,0.1596996834642748,0.286805701019238,0.3116633764980843,0.11653243998881108,"LLRLLL, LLLLLL, LLRRLL"
9,LSTM,80000,0.5,-0.04599735190583246,0,-314.85267600420343,0.16924117523556964,0.32136257027137316,0.32275823313076946,4.697703897360572e-05,"RLRLLL, LLRLLL, LLLLLL"
10,RNN,0,0.5,-0.0004942000825622528,0,-313.00442076143713,0.01348236780203823,0.34918543285534837,-0.09426738581104976,-0.20334721215317764,"RLLLLL, RLRLLL, RLRRLL"
11,RNN,20000,0.5,-0.026755382106447616,0,-314.69684981608077,0.16209456551445744,0.4005615932904344,0.2092490626496171,0.06521416570348636,"RLLLLL, RLRLLL, RLRRLL"
12,RNN,40000,0.5,-0.03711100950517852,0,-316.21959261449217,0.22174064903986648,0.42031722356921525,0.24376853081474323,0.028762073076393696,"RLRRLL, RLLLLL, RLRLLL"
13,RNN,60000,0.5,-0.039774745000029955,0,-316.0673066527407,0.21657273437810354,0.38693450079422154,0.2925161518886462,-0.01569780870346038,"RLRLLL, RLLLLL, RLRRLL"
14,RNN,80000,0.5,-0.03782550154933055,0,-315.85129661313675,0.20900111272532654,0.360570166713963,0.2218854696300754,-0.05226371847694444,"LRLRRR, LRRRRR, RLRLLL"
15,Transformer-action_td,0,0.5,-0.2375962668390949,0,-322.09362810867805,0.36407803982446296,0.42987287801240254,0.17447821236847044,0.2831456888406751,"LLRRLL, LLRRRL, LLRLLL"
16,Transformer-action_td,20000,0.5,-0.1293597016299679,0,-316.1532742716285,0.2195065618293111,0.28197996543607734,0.0893755830833583,0.36190744621973436,"LLRRLL, LLRLLL, LLRRRL"
17,Transformer-action_td,40000,0.5,-0.2203490667182872,0,-319.309699115966,0.3065732009889385,0.2697461077359035,0.17187163872365407,0.3918688969135385,"LLRLLL, LLRRLL, LLLRRL"
18,Transformer-action_td,60000,0.5,-0.2408521846985151,0,-318.31420181846914,0.2824610498441944,0.17678237438215266,0.07320898860786926,0.4002812819549221,"LLRLLL, LLRRLL, LLLRLL"
19,Transformer-action_td,80000,0.5,-0.20159983543515286,0,-321.36964310447235,0.35026320640215003,0.31387087927632207,0.16286218418486323,0.37197862421844896,"LLLRRL, LLRLLL, LLRRRL"
20,Transformer-action_lc-as,0,0.5,-0.10176083355917348,0,-320.4303579833589,0.3312304193917141,0.4352191753224032,0.1078779398713672,0.33308638988320693,"LLLLLL, LLRLLL, LLRRLL"
21,Transformer-action_lc-as,20000,0.5,-0.09171978327579935,0,-319.5540194957741,0.31215259674176715,0.4200025028544401,0.10407472097203282,0.3726734137675038,"LLRRLL, LLLLLL, LLLRLL"
22,Transformer-action_lc-as,40000,0.5,-0.09651856356322241,0,-319.12439127878855,0.30225820874870923,0.43123400785026467,0.10034917943577479,0.38427159962628654,"LLRLLL, LLLLLL, RLLRLL"
23,Transformer-action_lc-as,60000,0.5,-0.08963760405495504,0,-318.11501834720485,0.2773370684612803,0.4064014282935476,0.11402836133987769,0.35691536373759547,"RLRRLL, LLLLLL, LLLRLL"
24,Transformer-action_lc-as,80000,0.5,-0.09902921914360534,0,-318.5762998104668,0.28904165927419523,0.4201312569616709,0.09307744396217454,0.3385645469639407,"LLLRLL, LLRLLL, RLRRLL"
25,LSTM-action_td,0,0.5,-1.4849167280477031,0,-320.2480100043393,0.3273734580957656,0.4879366723767167,0.21334999451896453,-0.2214340596751822,"LRRRRL, LRLRRL, LRRRRR"
26,LSTM-action_td,20000,0.5,-0.075043192852001,0,-313.0058959441775,0.014311516915590045,0.3631931385031988,0.041669689762381695,-0.4130129952404415,"LRLRRR, LRRLLL, RLLRRL"
27,LSTM-action_td,40000,0.5,-0.3160773961230911,0,-313.27041719341173,0.06579201735626976,0.3368150426225724,0.1292802067352291,-0.3407677675800856,"RLLRRR, LRLRRR, LRLRRL"
28,LSTM-action_td,60000,0.5,-0.3739401658909067,0,-313.3512731431517,0.07473754656030926,0.37371295732118176,-0.0790908165782011,-0.14832160125903837,"RLLRRL, LRLRRR, LRRLRL"
29,LSTM-action_td,80000,0.5,-0.5085113579251427,0,-313.8344635544247,0.11430271256823601,0.28975408015490084,-0.017109552920687582,-0.234808447241903,"LRLRRL, LRRRRL, LRRRRR"
30,LSTM-action_lc-as,0,0.5,-0.39111417258278747,0,-315.56709221586414,0.19855806269492207,0.4102107562496944,0.22724824455169465,0.02348366473630227,"RLLRRR, LLLLLL, LLLRLL"
31,LSTM-action_lc-as,20000,0.5,-0.5376379662368513,0,-316.2085865733267,0.22137160507045334,0.36948113788127274,0.26114139185876684,-0.037166759208113215,"LLLLLL, RLLLRR, LLRRLL"
32,LSTM-action_lc-as,40000,0.5,-0.43374369534543356,0,-316.13867450477346,0.21901136080652578,0.38888110854913865,0.18318780835416776,0.06361169351938105,"RLRLLL, LLLLLL, LLLRLL"
33,LSTM-action_lc-as,60000,0.5,-0.5113423139244453,0,-317.1701360454227,0.25136931745431784,0.43299580170193497,0.18802612293090526,-0.06516390659396211,"LLRRLL, RLLRRR, LLLLLL"
34,LSTM-action_lc-as,80000,0.5,-0.5801518405085998,0,-318.6417794526294,0.29065829441865104,0.41862048656003126,0.22556244571135842,0.044502970533115374,"RLRRRR, LLLLLL, LLRLLL"
35,RNN-action_td,0,0.5,-0.050027557928626995,0,-313.25727339621477,0.06421904458974903,0.16407570570185198,0.01269826391105347,-0.478587633800983,"RLRRRR, LRLRRR, RLLRRR"
36,RNN-action_td,20000,0.5,0.007202781568611531,0,-312.9990397906755,-0.00988475202365345,0.15376325856551434,0.003867886164587331,-0.5881449853526635,"RRLRLR, RRLLLR, RLRLRR"
37,RNN-action_td,40000,0.5,0.08593893908110474,0,-313.6682369233371,-0.1024618031642777,0.028016169191530976,-0.12308455476208424,-0.5996415639845001,"RRLLLR, RRRLLR, RLRRRR"
38,RNN-action_td,60000,0.5,0.10596780036909122,0,-314.3671573451017,-0.1457587508021116,0.1069849851078351,-0.06329292875456968,-0.5851135897847188,"RRRRRR, RLLRRR, RLRRRR"
39,RNN-action_td,80000,0.5,0.051107814374289316,0,-313.3555702293408,-0.07518288077220756,-0.014409186071208287,-0.09956827514895922,-0.43673736511196143,"RLRRRR, RRLLLR, RRLRRR"
40,RNN-action_lc-as,0,0.5,-0.0836912238197363,0,-313.7840389446077,0.11084770166249522,0.31154540437548933,0.15938865926695975,0.022070340463601762,"RLRRLL, RLRRRR, RLLRLL"
41,RNN-action_lc-as,20000,0.5,-0.06727498628692649,0,-313.68491949605067,0.10371266132789114,0.25597225171741506,0.11723413879058658,0.0996202214880827,"LLRRLL, RLRRLL, RLRLRR"
42,RNN-action_lc-as,40000,0.5,-0.048962209589162704,0,-313.2085310984893,0.058011544452646086,0.20186314800136385,0.12116345485706648,0.033483416439870045,"RLLLRR, RLRRLL, RLLRLL"
43,RNN-action_lc-as,60000,0.5,-0.11063964775341562,0,-314.648817025449,0.15982359325383366,0.4370009402151456,0.18905279747560902,0.0349327985118274,"RLRRLL, RLLRLL, RLLLLL"
44,RNN-action_lc-as,80000,0.5,-0.024023202549543522,0,-313.0669844769944,0.03403934539418112,0.17226581148699588,0.15782238620785832,-0.05001176230818086,"RLRRRR, RLLRRR, RLRRLL"
45,3gram,0,0.5,-0.026809003994016447,0,-313.6378843247748,0.1001450419723246,0.18914618581649062,0.35897040946358205,-0.07465895556062122,"RRRRRR, RRLRRR, LRLRRR"
46,3gram,20000,0.5,-0.023857789873243183,0,-313.5107819455601,0.0897831754387647,0.17827687649732768,0.34435282697261094,-0.06979212994065773,"RRRRRR, RRLRRR, LRLRRR"
47,3gram,40000,0.5,-0.022647269920867453,0,-313.47494984697886,0.08663428726699005,0.1793165718741988,0.3447713421334753,-0.06329241549638973,"RRLRRR, RRRRRR, LRLRRR"
