,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
0,RNNG_top_down_beam,0,0.5,0.0028175647296667054,0,-313.01223228622587,-0.01742985033902856,0.23654184963142463,0.22334458973262772,0.2438395840100041,"RLRLLL, RLLLLL, RLLRLL"
1,RNNG_top_down_beam,20000,0.5,0.006260152300796955,0,-313.0967135727587,-0.040280866232915394,0.2834629742100614,0.1967603347541736,0.21742325978017785,"RLRLLL, RLLLLL, RLLRLL"
2,RNNG_top_down_beam,40000,0.5,0.0034379842231383392,0,-313.0224481640488,-0.02152583436622702,0.2946831867544195,0.205509177657479,0.24884655489995505,"RLLLLL, RLRLLL, RLLRLL"
3,RNNG_top_down_beam,60000,0.5,0.0020225484288959993,0,-313.00227989784224,-0.012179029888248004,0.26287451937315853,0.2121273198882374,0.2654992766981132,"RLRLLL, RLRRLL, RLLLLL"
4,RNNG_top_down_beam,80000,0.5,0.005319292568213509,0,-313.0583694878465,-0.03200335526621187,0.24425164904520294,0.19194341103176255,0.2791934120753422,"RLLLLL, RLRLLL, RLLRLL"
5,RNNG_in_order_beam,0,0.5,-0.16961918504533186,0,-314.84542125670225,0.1689155425528113,0.18001583179544006,0.32309118427778544,-0.06091745745495042,"LRRRLL, RRRRRR, RRRLRR"
6,RNNG_in_order_beam,20000,0.5,-0.0558926182907209,0,-313.916585357568,0.11971084578758848,0.20550178011645467,0.45038729891429047,-0.32841145712170494,"RRRRRR, RRRLRR, RRLRRR"
7,RNNG_in_order_beam,40000,0.5,-0.05491745353640503,0,-313.38895478695366,0.0785558113635762,0.1484507488857811,0.40902156362720865,-0.23605289760553555,"RLRRLR, RRRRRR, RRRLRR"
8,RNNG_in_order_beam,60000,0.5,-0.14831718574332667,0,-314.18183308331874,0.13567363481241024,0.19144280088902796,0.47666481474547573,-0.21354976087087862,"RRRRRR, RRLRRR, RRRLRR"
9,RNNG_in_order_beam,80000,0.5,-5.646763784716152e-05,0,-312.9927867596963,9.740271204811482e-05,0.13224152430282154,0.21473652629895768,-0.14563770363547898,"RLRLRR, RRRRRR, RRRLRR"
10,SRNNG_top_down_beam,0,0.5,0.009530535280550334,0,-313.2504006611234,-0.06338088300845479,0.15889237260525532,0.28235460706592697,0.17139158334027443,"RLRLLL, RLRRLL, RLLRLL"
11,SRNNG_top_down_beam,20000,0.5,0.01452274613119438,0,-313.588143798648,-0.09622540810270072,0.15003988775722898,0.2918284504980495,0.1449080973527043,"RLLLLL, RLRLLL, RLLRLL"
12,SRNNG_top_down_beam,40000,0.5,0.0074599281377150245,0,-313.13257312697425,-0.04670961259930376,0.12467268790533534,0.3266714845455965,0.30358378833770416,"RLLLLL, LLLLLL, RLRLLL"
13,SRNNG_top_down_beam,60000,0.5,0.006078733737333943,0,-313.0993612780165,-0.04079032482481595,0.14180245276126546,0.2756007899879823,0.2934938990982475,"RLLLLL, RLRLLL, LLLLLL"
14,SRNNG_top_down_beam,80000,0.5,0.010644233825425804,0,-313.31830765820524,-0.07122752515640782,0.12673722715738142,0.28947381939684813,0.2266600736688374,"RLLLLL, RLRLLL, RLRRLL"
15,SRNNG_in_order_beam,0,0.5,-0.026437342190757274,0,-313.4931775501037,0.08825038083049419,-0.10581944235139425,0.3381851330519705,-0.3017292120909341,"RRRRRR, RRRLRR, RRLRRR"
16,SRNNG_in_order_beam,20000,0.5,-0.01630644489855762,0,-313.2324708350742,0.06113975077507176,-0.11287959783672226,0.37895421861102746,-0.2983626235179566,"RRRRRR, RRRLRR, RRLRRR"
17,SRNNG_in_order_beam,40000,0.5,-0.020583757176598137,0,-313.1797762926734,0.05401348782712565,-0.14943974778612903,0.4052064687256418,-0.11629640849927478,"RRRRRR, RRRLRR, RRLLRR"
18,SRNNG_in_order_beam,60000,0.5,-0.06277386193135029,0,-314.1157253401801,0.13188211180181447,-0.12197920313139848,0.41741109133311705,-0.15661525991383887,"RRRRRR, LLRLLL, RRRLRR"
19,SRNNG_in_order_beam,80000,0.5,-0.029249388206246882,0,-313.3333278990252,0.0728480166596429,-0.1361214103429717,0.43683381879468197,-0.1635533730773411,"RRLRRR, RRRRRR, RRRLRR"
20,RNNG_top_down_beam,0,1.0,0.00014290034107548866,0,-313.01205076860384,-0.01734832348144119,0.23670521736054795,0.2232257238786483,0.24162860055341517,"RLRLLL, RLLLLL, RLLRLL"
