,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
0,td,0,0.5,0.2883795830077646,0,-329.0857851269728,-0.47151890471768354,-0.12054054567303231,0.0015704908646134719,-0.5841682408960291,"RRLRRR, RRLLRR, RRRRRR"
1,td,20000,0.5,0.24691469226531448,0,-329.37462675801095,-0.4752177509308463,-0.12234960512468396,0.0014873584600216816,-0.5554772608685536,"RRLRRR, RRLLRR, RRRRRR"
2,td,40000,0.5,0.23953340618439406,0,-329.42739353067583,-0.47588857360491355,-0.12401737736165475,0.001496214949793434,-0.5510338775393147,"RRLRRR, RRLLRR, RRRRRR"
3,td,60000,0.5,0.26593689493835704,0,-329.1906454624421,-0.47286700232793477,-0.11069758874578368,0.0013645373407907557,-0.5574251801773463,"RRLRRR, RRLLRR, RRRRRR"
4,td,80000,0.5,0.24125333935744162,0,-329.4100945363734,-0.4756688170748844,-0.12436000449839381,0.0016194122435690406,-0.5624295231209053,"RRLRRR, RRLLRR, RRRRRR"
5,lc-as,0,0.5,0.0111360695385259,0,-313.7770141621433,-0.1103575709211805,-0.045530541113594086,0.01422704175338775,0.5973938926013288,"RLLLLL, RLLRLL, RLRLLL"
6,lc-as,20000,0.5,0.012793575452065168,0,-314.0596046710283,-0.12857246845169304,-0.04438979955137355,0.011660237692369221,0.5668436135561508,"RLLLLL, RLLRLL, RLRLLL"
7,lc-as,40000,0.5,0.01336740427489569,0,-314.1193801456401,-0.13209467401130565,-0.03679864967003656,0.011124314598504298,0.561642944913224,"RLLLLL, RLLRLL, RLRLLL"
8,lc-as,60000,0.5,0.011109673942533139,0,-313.8790736800381,-0.11727231898202255,-0.055089303543046406,0.014401571998058138,0.5936244288812276,"RLLLLL, RLLRLL, RLRLLL"
9,lc-as,80000,0.5,0.013247978600227098,0,-314.1169785568823,-0.1319550383911195,-0.04132726164452816,0.011138160458085064,0.5610469669838566,"RLLLLL, RLLRLL, RLRLLL"
10,td,0,1.0,0.05472702879217138,0,-329.1352178770133,-0.47215517313106853,-0.12040395274468962,0.0,-0.5841525861385386,"RRLRRR, RRLLRR, RRRRRR"
11,td,20000,1.0,0.04638467971216798,0,-329.4219880573002,-0.4758199228446599,-0.12218997689428401,0.0,-0.5554567297656319,"RRLRRR, RRLLRR, RRRRRR"
12,td,40000,1.0,0.04542498891410577,0,-329.4751498575119,-0.4764944087869432,-0.12385332912402133,-2.7755575615628914e-16,-0.5510118213192512,"RRLRRR, RRLLRR, RRRRRR"
13,td,60000,1.0,0.04885571846883889,0,-329.23159064058933,-0.473391758670774,-0.11051400848296175,8.326672684688674e-17,-0.5574091524823164,"RRLRRR, RRLLRR, RRRRRR"
14,td,80000,1.0,0.04567315540509083,0,-329.46360443761495,-0.47634805601275765,-0.12426467326167767,1.6653345369377348e-16,-0.562405607976866,"RRLRRR, RRLLRR, RRRRRR"
15,lc-as,0,1.0,0.0030831468490072813,0,-313.89308079002006,-0.11818893485330262,-0.04445651065192236,5.551115123125783e-17,0.5985644831068376,"RLLLLL, RLLRLL, RLRLLL"
16,lc-as,20000,1.0,0.003453937949256999,0,-314.1715973276321,-0.13509379296943336,-0.04327585959253564,-1.249000902703301e-16,0.5679701086894321,"RLLLLL, RLLRLL, RLRLLL"
17,lc-as,40000,1.0,0.003626746189297775,0,-314.2300742218271,-0.13837250208180363,-0.03579211328865711,-6.938893903907228e-17,0.5627543786612702,"RLLLLL, RLLRLL, RLRLLL"
18,lc-as,60000,1.0,0.0029892792911069737,0,-314.0085715184718,-0.12548448309435004,-0.054198008119766675,2.7755575615628914e-17,0.5948654605304265,"RLLLLL, RLLRLL, RLRLLL"
19,lc-as,80000,1.0,0.003584691196521256,0,-314.22494618674466,-0.13808821381766564,-0.040101439918921795,-8.326672684688674e-17,0.5621929531005014,"RLLLLL, RLLRLL, RLRLLL"
20,td,0,2.0,0.003940697398801352,0,-329.2326203547802,-0.47340494373899916,-0.12012762246678166,-0.0031395938008818847,-0.5841367267157516,"RRLRRR, RRLLRR, RRRRRR"
21,td,20000,2.0,0.003272668765227691,0,-329.5151948093323,-0.47700147683693395,-0.12186760515977713,-0.0029730286463187094,-0.55544165200924,"RRLRRR, RRLLRR, RRRRRR"
22,td,40000,2.0,0.003265989536845242,0,-329.56910236809193,-0.47768272987717975,-0.12352199924006513,-0.002990602481267035,-0.5509964262860623,"RRLRRR, RRLLRR, RRRRRR"
23,td,60000,2.0,0.00329673046367416,0,-329.311979515053,-0.47441936633568377,-0.11014406154624078,-0.0027278055090411424,-0.5573954223414803,"RRLRRR, RRLLRR, RRRRRR"
24,td,80000,2.0,0.0032726772167844193,0,-329.56930675436655,-0.477685309854778,-0.12407091967975374,-0.003236833887880569,-0.5623902684305857,"RRLRRR, RRLLRR, RRRRRR"
25,lc-as,0,2.0,0.00045119687347560327,0,-314.1508175270303,-0.1339086343704769,-0.04202970489522871,-0.02753917911688951,0.5947387259223658,"RLLLLL, RLLRLL, RLRLLL"
26,lc-as,20000,2.0,0.00048426404108721695,0,-314.4190323973842,-0.1484540976749885,-0.04081839806044668,-0.02258638937496782,0.564361510441896,"RLLLLL, RLLRLL, RLRLLL"
27,lc-as,40000,2.0,0.0005143907792557349,0,-314.47519488394374,-0.15131570236776173,-0.03363429835546369,-0.02154985116669539,0.5592156942254846,"RLLLLL, RLLRLL, RLRLLL"
28,lc-as,60000,2.0,0.0004122860208676457,0,-314.29562616468615,-0.1419544746377872,-0.051976504270622614,-0.027810076743199005,0.5908190327601087,"RLLLLL, RLLRLL, RLRLLL"
29,lc-as,80000,2.0,0.000505368969960014,0,-314.4625658000585,-0.15067717632194738,-0.037466283745392986,-0.021582836601886923,0.5586069354381533,"RLLLLL, RLLRLL, RLRLLL"
30,td,0,3.0,0.00037818575006534996,0,-329.32803382373885,-0.4746241670239244,-0.11984710891478753,-0.006276893572856296,-0.5841414660523532,"RRLRRR, RRLLRR, RRRRRR"
31,td,20000,3.0,0.0003077216737052837,0,-329.60634360526427,-0.4781524620885506,-0.12154108934047897,-0.005943435275492459,-0.5554611993052023,"RRLRRR, RRLLRR, RRRRRR"
32,td,40000,3.0,0.00031293224197373476,0,-329.66093664072747,-0.4788397307271208,-0.12318636815801133,-0.0059783931408493585,-0.5510192942916772,"RRLRRR, RRLLRR, RRRRRR"
33,td,60000,3.0,0.00029648965012702767,0,-329.39033389310663,-0.4754175921278636,-0.10977040996943951,-0.0054535701021396765,-0.5574061175198661,"RRLRRR, RRLLRR, RRRRRR"
34,td,80000,3.0,0.000312511998582604,0,-329.6732190062697,-0.4789941361656099,-0.12387305262956098,-0.006470686662900599,-0.5624182166836451,"RRLRRR, RRLLRR, RRRRRR"
35,lc-as,0,3.0,8.282242916319474e-05,0,-314.42514478248864,-0.14876832946890106,-0.03933566410475597,-0.0525046046650791,0.5841944019164064,"RLLLLL, RLLRLL, RLRLLL"
36,lc-as,20000,3.0,8.592408895092684e-05,0,-314.6820113674498,-0.16139660167856307,-0.03814990786943008,-0.04306154405233331,0.5543675145347011,"RLLLLL, RLLRLL, RLRLLL"
37,lc-as,40000,3.0,9.252114357304632e-05,0,-314.73700155223315,-0.16396750748657424,-0.03136905675241282,-0.04110817675458919,0.5493819385964752,"RLLLLL, RLLRLL, RLRLLL"
38,lc-as,60000,3.0,7.113714077952541e-05,0,-314.5995106329317,-0.15745652862671003,-0.04929041774506434,-0.05286184597357882,0.579756486924438,"RLLLLL, RLLRLL, RLRLLL"
39,lc-as,80000,3.0,9.0288906377946e-05,0,-314.7139217873399,-0.16289369027023354,-0.034681149486914295,-0.041145635712160525,0.5486146453949919,"RLLLLL, RLLRLL, RLRLLL"
40,td,0,log,0.37985918962817905,0,-329.03587248917285,-0.47087508732835254,-0.12067608868199231,0.003141355304191157,-0.5841890393814775,"RRLRRR, RRLLRR, RRRRRR"
